condition,spatial,wiki,n,r_pearson,p_pearson,rho_spearman,p_spearman,p_fdr,fdr_significant
Clumpy,n_transitions_mean,count_topic,72,-0.026805285946281253,0.8231387466760383,-0.07947985113219623,0.5069099759773903,0.9747695684321506,False
Clumpy,n_transitions_mean,count_typing,72,0.12721574364081165,0.2869197616121534,0.08094644845401452,0.49907687448023297,0.9068835643557314,False
Clumpy,n_transitions_mean,PC1,72,-0.004964084165806442,0.9669892080981075,-0.07620417645780049,0.524630879636729,0.9809282801167984,False
Clumpy,n_transitions_mean,seq_typing_mean_run_explore,70,-0.07461744853885632,0.5392746170118949,-0.09941584413965575,0.4128849540378852,0.9068835643557314,False
Clumpy,n_transitions_mean,seq_typing_entropy,72,0.21218572033568778,0.07355354692859242,0.1179444319741756,0.3237770924885599,0.9068835643557314,False
Clumpy,n_transitions_sd,count_time,72,0.03474883055109331,0.7719839724681562,0.15633880860080085,0.18970835642474632,0.9643538331354592,False
Clumpy,n_transitions_sd,count_topic,72,-0.021135286617258407,0.8601212578222162,0.026351166091923634,0.8260877407667787,0.9784752143430504,False
Clumpy,n_transitions_sd,count_typing,72,0.12296079676643715,0.30347600335253677,0.25257159728673645,0.03231695640500807,0.9068835643557314,False
Clumpy,n_transitions_sd,PC1,72,0.009655239682319855,0.9358432322917787,0.07108204209959147,0.5529493444246719,0.9809282801167984,False
Clumpy,n_transitions_sd,seq_typing_mean_run_explore,70,-0.1847164066670344,0.12581200399320808,-0.2805056086726696,0.018670037328777676,0.9068835643557314,False
Clumpy,n_transitions_sd,seq_typing_entropy,72,0.12501069408720006,0.2954237477257084,0.15189666483948888,0.20275764738186308,0.9068835643557314,False
Clumpy,total_collected_mean,count_time,72,0.05598545449507795,0.640424851678357,0.05230102842313966,0.6626039777542083,0.9443747225297665,False
Clumpy,total_collected_mean,count_topic,72,0.07435203576756272,0.5347862433214616,0.08185477255304127,0.4942572601753194,0.9068835643557314,False
Clumpy,total_collected_mean,count_typing,72,0.14441029826329638,0.2261744330250315,0.15525311027871308,0.1928403477226147,0.9068835643557314,False
Clumpy,total_collected_mean,PC1,72,0.09020044147629015,0.4511381843487846,0.11122366963028774,0.3523001028639276,0.9068835643557314,False
Clumpy,total_collected_mean,seq_typing_mean_run_explore,70,0.17321503783214093,0.15157469042686975,0.19658691222049698,0.10286740114825786,0.9068835643557314,False
Clumpy,total_collected_mean,seq_typing_entropy,72,0.1354703905323402,0.2565319911058381,0.030535519203511666,0.7990110795899824,0.9068835643557314,False
Clumpy,total_collected_sd,count_time,72,0.06140329756260131,0.6083784440580959,0.06685864020155886,0.5768372041087586,0.9404818982673262,False
Clumpy,total_collected_sd,count_topic,72,0.12341463052060324,0.3016811048688439,0.12880665147992976,0.28088569277486203,0.9068835643557314,False
Clumpy,total_collected_sd,count_typing,72,0.08139077340715756,0.4967162157631135,0.09166462268187331,0.44379426289813895,0.9068835643557314,False
Clumpy,total_collected_sd,PC1,72,0.11946086591000059,0.3175508809093096,0.12649740357005326,0.28967216503000764,0.9068835643557314,False
Clumpy,total_collected_sd,seq_typing_mean_run_explore,70,0.08306507495823297,0.49420145939922455,0.10084260542983914,0.4061778446517791,0.9068835643557314,False
Clumpy,total_collected_sd,seq_typing_entropy,72,0.010775850574710609,0.9284156005281685,0.0009328583819374591,0.993794889533981,0.9809282801167984,False
Clumpy,time_to_first_resource_mean,count_time,72,0.018732286884238992,0.8758907009018871,0.10190916884262828,0.3943169374567089,0.9784752143430504,False
Clumpy,time_to_first_resource_mean,count_topic,72,0.21253369082605636,0.07307148693781082,0.25759716784129755,0.028922556113753013,0.9068835643557314,False
Clumpy,time_to_first_resource_mean,count_typing,72,0.03178325261862711,0.7909810952181249,0.11254360492786947,0.34657895022145424,0.9643538331354592,False
Clumpy,time_to_first_resource_mean,PC1,72,0.1706672044892026,0.15175669522767177,0.24127285376492302,0.04118055468054781,0.9068835643557314,False
Clumpy,time_to_first_resource_mean,seq_typing_mean_run_explore,70,0.06965536463584844,0.5666569360692271,0.11530629622949443,0.3418447547958121,0.927256804476917,False
Clumpy,time_to_first_resource_mean,seq_typing_entropy,72,-0.10271433926522934,0.39057199738469695,-0.07620487954516693,0.5246270430123813,0.9068835643557314,False
Clumpy,time_to_first_resource_sd,count_time,72,-0.0016218391339697259,0.9892121993740295,0.08409208698484139,0.4824906260616213,0.9892121993740294,False
Clumpy,time_to_first_resource_sd,count_topic,72,0.17426753526703231,0.1431780709847916,0.23379786796244298,0.04808600675738415,0.9068835643557314,False
Clumpy,time_to_first_resource_sd,count_typing,72,0.08220173408911434,0.49242271477126265,0.17720954367095465,0.1364425752904737,0.9068835643557314,False
Clumpy,time_to_first_resource_sd,PC1,72,0.14449723927096514,0.22589208692990537,0.22893987950049807,0.053064376242035534,0.9068835643557314,False
